Nav Section,Page / Sub-Section,Element,Content Type Needed,Specific Content to Request from Client,Notes / Questions for Client,Priority,Status,Integrum Content,Remarks
Home,Homepage,Hero Section,Headline + Sub-headline,Primary hero headline and supporting line (site currently uses: 'Every megawatt begins with a SPARK.' and 'Power your business on clean energy'). Confirm final tagline/positioning line.,Ask client if they want to keep the SPARK tagline as the permanent hero line or replace it.,High,To Collect,"Your Energy. Fully Integrated. Fully Optimized. - Engineering renewable ecosystems that deliver performance, resilience, and long-term returns.
 
 Integrated Partner for Your Entire Energy Management Journey - From generation and optimization to compliance and long-term value.",
Home,Homepage,Hero Section,Hero Visual,"High-res hero image/video of a wind+solar hybrid plant or client site (banner format, with usage rights).",Confirm if client can share drone/site photography or if stock/render is acceptable.,High,To Collect,Drone shot to be collected,
Home,Homepage,What We Do,Overview Copy (3 bullets),"Short description of: (1) Wind+solar hybrid plants under open access/group captive, (2) Behind-the-meter solar, BESS, green hydrogen, (3) Lifecycle management - design, EPC, O&M, monitoring.",Confirm exact service list is current and complete; ask if green hydrogen is active or future roadmap.,High,To Collect,"1. Blended solar and wind generation, structured under open access or group captive, to displace grid and DG power at a lower, contracted tariff. The hybrid profile smooths intermittency — wind fills the hours solar can't — so you get firmer daytime and evening coverage than a single-source plant. We structure the commercial model (open access, or a group captive SPV that meets the 26% equity / 51% consumption thresholds) around your load, tariff category, and state policy, so the savings survive regulatory scrutiny.
 
 2. Generation behind your meter, where every unit produced offsets a unit you'd otherwise buy at retail tariff — the highest-value avoided cost available to you. We pair on-site solar with battery storage (BESS) to shift generation into peak-tariff windows, cut demand charges, and hold critical loads through outages.
 
 3. One accountable partner across the asset's life, so performance risk doesn't get split across vendors who can each blame the other. We design and size the system to your load and tariff, execute EPC to commissioning, and run O&M against contracted availability and generation guarantees. A live monitoring layer tracks generation, consumption, and realised savings against the model — surfacing underperformance before it shows up on your bill, not after.",Green Hydrogen is something which we are not focusing on right now
Home,Homepage,Key Stats / Metrics,Numbers & Proof Points,"Quantified stats for homepage banner: total MW installed/under management, number of clients, states of operation, years of O&M experience, CO2 offset to date, cost reduction range (e.g. Rs 8.3 to Rs 3.99/unit).",Request latest verified figures with date-stamp; these numbers need periodic refresh.,High,To Collect,Refer to the table in supportings,
Home,Homepage,Case Study Teasers,3 Short Case Snippets,"One-line summary + result for each featured case: Green Steel (100% conventional to RE100), Cement (Rs7 to Rs3/unit across 10+ states), Integrated Energy Solution (Rs8.3 to Rs3.99/unit, 87% green power).",Confirm client names can be disclosed publicly or must stay anonymized (e.g. 'Leading Cement Manufacturer').,High,To Collect,,
Home,Homepage,Client Logos,Logo Strip,"Approved client/partner logos for 'trusted by' section, with usage permission.",Get written sign-off from each client before publishing logo.,Medium,To Collect,,
Home,Homepage,Primary CTA,CTA Copy + Link,"Main call-to-action button text and destination (e.g. 'Talk to an Energy Advisor', 'Calculate Your Savings').",Confirm CTA priority — lead gen form vs calculator vs contact.,Medium,To Collect,,
How We Partner,SPARK Overview,Section Intro,Framework Explanation,"Explanation of the SPARK framework as the partnership philosophy, plus the tagline 'Every megawatt begins with a SPARK.'",Confirm SPARK is trademarked/registered term; get any usage guidelines.,High,To Collect,Refer to the table in supportings,
How We Partner,SPARK — 5 Pillars,S — Scan & Understand,Stage Description,"2-4 sentence description of what happens in the 'Scan & Understand' stage, deliverables, and typical timeline.",Ask for a real example or client quote illustrating this stage if available.,High,To Collect,Refer to the table in supportings,
How We Partner,SPARK — 5 Pillars,P — Plan & Design,Stage Description,"2-4 sentence description of what happens in the 'Plan & Design' stage, deliverables, and typical timeline.",Ask for a real example or client quote illustrating this stage if available.,High,To Collect,Refer to the table in supportings,
