,,,,,,
,1,Number & Proof Points,,,,
,,,,,,
,,Commissioned Mwah,229+,,,
,,Trusted Partners,34+,,,
,,Hybrid + Hybridization,155+,,,
,,(85 Hyrid +70 Hybridization),,,,
,,,,,,
,2,SPARK,,,,
,Stage,Integrum Activities,Timeline,Objective,Integrum Optimizer / Value Addition,Key Outcome
,S – Scan & Develop,• Assess target states and regulatory framework,Pre-project (4-6 months),Identify the right opportunity and validate project viability,"• Access to identified sites with proven wind & solar resources
 • Data-driven feasibility assessment
 • Early identification of regulatory and development risks
 • Faster decision-making through market intelligence",Investment-ready opportunity with validated economics and reduced development risk
,,• Identify potential consumers and demand profile,,,,
,,"• Assess sites, generation potential, and risks",,,,
,,• Land acquisition,,,,
,,• Secure project go-ahead and reserve/block identified sites,,,,
,,,,,,
,,"• Obtain government, transmission, and statutory approvals",,,,
,P – Plan & Design,• Tailored solution for each customers based on their consumption profiles & RE goals,~2 Months,Structure the project and prepare for execution,• Optimized project configuration• Strong supplier ecosystem and framework agreements• Regulatory expertise ensuring faster approvals• Bankable and execution-ready project structure,Fully approved and execution-ready project with optimized commercial and technical design
,,• Execute Term Sheet (TS) with consumer,,,,
,,• Finalize framework agreements with WTG/OEM suppliers,,,,
,,• Develop project execution strategy,,,,
,,• Plan transmission evacuation and infrastructure requirements,,,,
,"A – Acquire & Build
 
 Asset Creation",,~6-12 Months,Build and commission the project efficiently,• Site infrastructure already planned and aligned• Transmission infrastructure development managed in parallel• Well-drafted contracts and project governance• Strong project management ensuring timely delivery,Renewable energy asset successfully commissioned and connected to the grid
,,• Right of Way (RoW) acquisition,,,,
,,• Transmission line and Pooling Substation (PSS) development,,,,
,,• Site infrastructure development,,,,
,,• Plant construction and installation,,,,
,,"• Testing, commissioning, and grid synchronization",,,,
,R – Run & Maintain,• Plant Operations & Maintenance (O&M),Operational Phase,Ensure reliable and efficient plant performance,• Balanced O&M agreements• Analytics-driven performance management• Single-window operational support• Enhanced plant availability and reliability,"Stable operations, maximum uptime, and predictable energy generation"
,,• Asset performance monitoring,,,,
,,• Vendor and contract management,,,,
,,• Compliance and reporting,,,,
,,• Generation optimization,,,,
,"K – Keep Optimising
 
 Katalyzing Performance
 
 Kore Asset Intelligence",• Contract management and sourcing optimization,~25 Years (Asset Life Cycle),Maximize asset value throughout its lifecycle,• Flexibility for future expansion or exit• Continued support beyond commissioning• Long-term commercial and operational optimization• Improved returns through continuous performance enhancement,"Maximized lifetime value, improved returns, and sustained operational excellence"
,,• Performance benchmarking and analytics,,,,
,,• Cost optimization initiatives• Lifecycle planning and asset enhancement• Exit planning and strategic support,,,,
